Company,Rating,Industry,Employees,Location,Ownership,age,Reviews,Salaries,Jobs,Interviews,Benefits
Power Grid Corporation of India,4.3,Power ,"('5k-10k Employees', '')",Gurgaon/Gurugram,Fortune India 500, 35 years old,841,2k,--,61,82
CenturyPly,3.9,Furniture & Furnishing ,"('1k-5k Employees', '')",Kolkata,Public, 38 years old,834,3.7k,1,59,58
Mando Automotive,3.9,Auto Components ,"('1k-5k Employees', '')",Kanchipuram,Fortune India 500, 18 years old,821,4.6k,--,46,129
Jubilant Pharmova,3.9,Pharma ,"('1k-5k Employees', '')",Noida,Public, 46 years old,808,3.8k,29,56,117
Sundaram Finance,4.2,NBFC ,"('1k-5k Employees', '')",Chennai,Public, 70 years old,804,3.1k,--,29,89
Kirloskar Brothers,4.0,Industrial Machinery ,"('1k-5k Employees', '')",Pune,Public, 136 years old,799,4.1k,5,61,105
Tube Investments of India,4.0,Engineering & Construction ,"('1k-5k Employees', '')",Chennai,Public, 75 years old,795,3.1k,8,41,60
Adani Green Energy,4.2,Power ,"('1k-5k Employees', '')",Ahmedabad,Fortune India 500, 9 years old,788,4.2k,8,81,82
Nilkamal,3.9,Furniture & Furnishing ,"('1k-5k Employees', '')",Mumbai,Public, 43 years old,781,3.2k,8,48,88
Digit Insurance,3.9,Insurance ,"('1k-5k Employees', '')",Bengaluru/Bangalore,Fortune India 500, 8 years old,779,3.9k,20,76,105
Colgate Palmolive,4.2,FMCG ,"('1k-5k Employees', '')",,Public, 87 years old,779,3.9k,--,66,123
Birla Corporation,4.2,Building Material ,"('5k-10k Employees', '')",Kolkata,Public, 105 years old,775,3.4k,--,52,87
Sundaram Clayton,4.1,Auto Components ,"('1k-5k Employees', '')",Chennai,Public, 62 years old,765,3k,--,27,104
SHYAM METALICS AND ENERGY,3.6,Iron & Steel ,"('1k-5k Employees', '')",Kolkata,Fortune India 500, 29 years old,759,3.3k,2,81,50
HFCL,4.1,Hardware & Networking ,"('1k-5k Employees', '')",Delhi/NCR,Public, 37 years old,756,3.5k,--,53,91
Astral Pipe,4.1,Building Material ,"('1-10 Employees', '')",Ahmedabad,Fortune India 500,,752,3.1k,20,56,37
Tata Consumer Products,3.8,FMCG ,"('1k-5k Employees', '')",Mumbai,Public, 62 years old,752,3.9k,9,55,68
City Union Bank,3.3,Banking ,"('5k-10k Employees', '')",Thanjavur,Public, 120 years old,750,4.6k,7,69,61
Federal Bank,3.8,Banking ,"('10k-50k Employees', '')",Aluva,Public, 93 years old,741,4.5k,--,119,74
Schaeffler India,4.2,Auto Components ,"('1k-5k Employees', '')",Mumbai,Public, 78 years old,735,4.4k,--,47,116
DLF,4.0,Real Estate ,"('1k-5k Employees', '')",Gurgaon/Gurugram,Public, 78 years old,734,3.8k,1,69,74
Nirma,4.3,FMCG ,"('10k-50k Employees', '')",Ahmedabad,Fortune India 500, 34 years old,730,3.1k,--,38,126
Tata Chemicals,4.1,Chemicals ,"('1k-5k Employees', '')",Mumbai,Public, 85 years old,726,2.8k,13,55,142
Lakshmi Machine Works,4.0,Industrial Machinery ,"('1k-5k Employees', '')",Coimbatore,Public, 62 years old,720,3.9k,2,48,70
CNH Industrial,4.0,Automobile ,"('1k-5k Employees', '')",London,Public, 11 years old,719,3.6k,10,50,92
Wheels,4.1,Auto Components ,"('1k-5k Employees', '')",Chennai,Public, 62 years old,719,4.8k,--,52,85
Bank of India,3.9,Banking ,"('50k-1 Lakh Employees', '')",Mumbai,Fortune India 500, 118 years old,714,2.7k,--,44,93
Biocon Biologics,3.6,Biotechnology ,"('1k-5k Employees', '')",Bangalore/Bengaluru,Public, 46 years old,709,5.6k,--,85,363
Reliance Power,4.2,Power ,"('1k-5k Employees', '')",,Public, 29 years old,708,3.3k,3,41,70
Page Industries,4.2,Fashion & Textile ,"('10k-50k Employees', '')",Bangalore/Bengaluru,Public, 30 years old,704,3.3k,1,38,83
Vedanta Resources,3.8,Metals & Mining ,"('1k-5k Employees', '')",London,Public, 48 years old,698,5.1k,--,90,101
NBC Bearings,3.9,Auto Components ,"('1k-5k Employees', '')",Jaipur,Public, 78 years old,689,3k,4,73,50
KEI Industries,4.2,Electrical Equipment ,"('1k-5k Employees', '')",Delhi/NCR,Public, 56 years old,684,3.1k,--,51,90
Godfrey Phillips India,4.1,FMCG ,"('501-1k Employees', '')",Delhi/NCR,Public, 91 years old,683,3k,--,29,109
Prism Johnson,3.9,Building Material ,"('1k-5k Employees', '')",Mumbai,Public, 32 years old,682,3.8k,--,44,67
Bayer,4.1,Pharma ,"('10k-50k Employees', '')",,Public, 161 years old,681,4k,--,43,134
Alok Industries,3.8,Fashion & Textile ,"('10k-50k Employees', '')",Mumbai,Public, 38 years old,677,3k,--,36,85
United Breweries,3.8,Beverage ,"('1k-5k Employees', '')",Bangalore/Bengaluru,Public, 167 years old,676,3.2k,1,34,98
HSBC Bank,4.1,Banking ,"('10k-50k Employees', '')",,Fortune India 500,,667,4.1k,--,38,26
Deepak Fertilisers and Petrochemicals,4.0,Chemicals ,"('501-1k Employees', '')",Pune,Public, 45 years old,631,3.1k,8,33,87
Union Bank of India,4.0,Banking ,"('50k-1 Lakh Employees', '')",Mumbai,Public, 105 years old,622,2.7k,--,31,72
Wonder Cement,4.2,Building Material ,"('1k-5k Employees', '')",Ajmer,Fortune India 500, 14 years old,614,3.2k,34,47,60
Tata Hitachi Construction Machinery,4.0,Industrial Machinery ,"('1k-5k Employees', '')",Bangalore/Bengaluru,Fortune India 500, 25 years old,614,2.8k,--,50,86
Adani Enterprises,3.8,10k,"('10k-50k Employees', '')",Ahmedabad,Public, 36 years old,614,3.7k,8,68,86
Balkrishna Industries,4.0,Auto Components ,"('1k-5k Employees', '')",Mumbai,Public, 37 years old,612,3.1k,--,43,54
Carborundum Universal,4.0,Metals & Mining ,"('1k-5k Employees', '')",Chennai,Public, 70 years old,599,3k,--,29,64
Engineers India,4.3,1k,"('1k-5k Employees', '')",Delhi/NCR,Public, 59 years old,599,3.2k,6,69,81
India Cements,3.8,Building Material ,"('1k-5k Employees', '')",Chennai,Public, 78 years old,580,2.5k,--,45,63
Finolex Cables,3.9,Electrical Equipment ,"('1k-5k Employees', '')",Pune,Public, 68 years old,579,2.5k,13,37,48
HIL,4.2,Building Material ,"('1k-5k Employees', '')",Hyderabad/Secunderabad,Public, 78 years old,578,2.3k,5,47,71
Hitachi Energy,4.1,Power ,"('1k-5k Employees', '')",Zurich,Fortune India 500, 5 years old,578,4.8k,284,74,69
VA Tech Wabag,3.9,Waste Management ,"('501-1k Employees', '')",Chennai,Public, 100 years old,563,2.8k,--,43,89
JK Paper,4.0,Pulp & Paper ,"('1k-5k Employees', '')",Delhi/NCR,Public, 62 years old,557,2.6k,15,46,77
Redington,4.0,Hardware & Networking ,"('1k-5k Employees', '')",Dubai,Public, 25 years old,555,3.1k,--,30,69
Apar Industries,4.1,Electrical Equipment ,"('1k-5k Employees', '')",Vadodara/Baroda,Public, 66 years old,546,3k,3,36,49
Zee Entertainment Enterprises,3.5,Media & Entertainment ,"('1k-5k Employees', '')",Mumbai,Public, 32 years old,544,4.2k,2,44,51
Deepak Nitrite,4.0,Chemicals ,"('1k-5k Employees', '')",Vadodara/Baroda,Public, 54 years old,539,3k,15,43,74
Steel Authority Of India,4.1,Iron & Steel ,"('10k-50k Employees', '')",Delhi/NCR,Public, 70 years old,534,2.2k,--,35,61
BASF,4.5,Chemicals ,"('1k-5k Employees', '')",Ludwigshafen,Fortune India 500, 81 years old,525,2.4k,--,29,74
Jain Irrigation Systems,4.1,Agriculture ,"('5k-10k Employees', '')",Jalgaon,Public, 61 years old,520,2.2k,--,19,53
Sterlite Power,3.9,Power ,"('1k-5k Employees', '')",Delhi/NCR,Fortune India 500, 14 years old,520,2.9k,16,22,71
EPL Limited,3.9,Packaging ,"('1k-5k Employees', '')",Mumbai,Public, 40 years old,509,1.8k,--,19,74
TTK Prestige,3.9,Consumer Electronics & Appliances ,"('1k-5k Employees', '')",Bangalore/Bengaluru,Public, 69 years old,507,2.2k,3,34,50
Electrotherm,4.2,Iron & Steel ,"('1k-5k Employees', '')",Ahmedabad,Public, 41 years old,500,2.8k,--,28,60
Coal India,4.0,Metals & Mining ,"('', '1')",Kolkata,Public, 49 years old,498,1.9k,--,56,76
Jai Balaji Group,3.6,Iron & Steel ,"('1k-5k Employees', '')",Kolkata,Public, 25 years old,498,2.7k,1,33,70
Orient Cement,4.3,Building Material ,"('1k-5k Employees', '')",Hyderabad/Secunderabad,Public, 45 years old,498,2.4k,2,37,83
Gayatri Projects,3.9,Engineering & Construction ,"('1k-5k Employees', '')",Hyderabad/Secunderabad,Public, 61 years old,497,2.2k,--,36,80
Patel Engineering,4.2,Engineering & Construction ,"('1k-5k Employees', '')",Mumbai,Public, 75 years old,495,2.1k,1,30,57
3M,4.2,Electronics Manufacturing ,"('1k-5k Employees', '')",,Public, 37 years old,492,3k,45,26,66
United Spirits,4.0,Beverage ,"('1k-5k Employees', '')",Bangalore/Bengaluru,Public, 27 years old,490,1.8k,--,11,73
Surya Roshni,4.2,Real Estate ,"('1k-5k Employees', '')",Delhi/NCR,Public, 51 years old,489,2.1k,--,14,56
JM Financial,3.8,Financial Services ,"('1k-5k Employees', '')",Mumbai,Public, 40 years old,487,3.4k,6,38,34
Triveni Engineering & Industries,4.2,Food Processing ,"('1k-5k Employees', '')",Mysore/Mysuru,Public, 92 years old,484,2.2k,--,30,62
Amber Enterprises India,3.9,Consumer Electronics & Appliances ,"('1k-5k Employees', '')",Mumbai,Public, 34 years old,469,2.5k,9,36,44
BEML,4.1,Industrial Machinery ,"('5k-10k Employees', '')",Bangalore/Bengaluru,Fortune India 500, 60 years old,468,1.7k,--,21,62
Škoda Auto Volkswagen,4.2,Automobile ,"('5k-10k Employees', '')",Pune,Fortune India 500, 23 years old,468,3.1k,4,21,49
PCBL Limited,3.9,Petrochemicals ,"('1k-5k Employees', '')",Kolkata,Public, 64 years old,464,2.4k,5,53,53
Sadbhav Engineering,4.4,Engineering & Construction ,"('1k-5k Employees', '')",Ahmedabad,Public, 36 years old,457,1.7k,--,10,69
Welspun Corp,4.1,Iron & Steel ,"('5k-10k Employees', '')",Mumbai,Fortune India 500, 39 years old,453,1.9k,--,25,44
Godrej Industries,4.2,Chemicals ,"('1k-5k Employees', '')",Mumbai,Public, 61 years old,452,2.6k,101,46,69
Eicher Motors,4.2,Automobile ,"('5k-10k Employees', '')",Gurgaon,Public, 42 years old,431,1.6k,--,30,45
Central Bank of India,3.9,Banking ,"('10k-50k Employees', '')",Mumbai,Public, 113 years old,429,1.2k,--,28,37
Kajaria Ceramics,4.2,Building Material ,"('1k-5k Employees', '')",Delhi/NCR,Public, 39 years old,428,1.8k,--,17,51
Transport Corporation Of India,4.1,Logistics ,"('1k-5k Employees', '')",Gurgaon,Public, 66 years old,416,1.8k,--,23,62
South Indian Bank,3.5,Banking ,"('1k-5k Employees', '')",Thrissur/Trichur,Public, 95 years old,416,2.6k,--,67,37
NLC India Limited,4.5,Metals & Mining ,"('10k-50k Employees', '')",Chennai,Fortune India 500, 68 years old,415,1.1k,--,21,27
Jindal Poly Films,3.6,Packaging ,"('1k-5k Employees', '')",Delhi/NCR,Public, 50 years old,414,2.4k,--,33,53
Radico Khaitan,3.9,Beverage ,"('1k-5k Employees', '')",Delhi/NCR,Public, 81 years old,411,1.8k,--,20,36
IRB Infrastructure,4.1,Engineering & Construction ,"('5k-10k Employees', '')",Mumbai,Public, 26 years old,404,1.3k,--,17,59
Castrol,4.2,Petrochemicals ,"('501-1k Employees', '')",Pangbourne,Public, 125 years old,399,1.8k,--,19,51
Electrosteel Casting,3.9,Building Material ,"('1k-5k Employees', '')",Kolkata,Public, 69 years old,396,2k,--,38,43
LIC Housing Finance,4.1,NBFC ,"('1k-5k Employees', '')",Mumbai,Public, 35 years old,396,1.6k,--,16,35
Aster Dm Healthcare,3.8,Healthcare ,"('1k-5k Employees', '')",Dubai,Public, 37 years old,396,2.3k,36,35,36
GHCL Limited,4.0,Chemicals ,"('501-1k Employees', '')",Noida,Public, 41 years old,384,1.5k,1,25,58
Galaxy Surfactants,3.8,Chemicals ,"('1k-5k Employees', '')",Mumbai,Public, 44 years old,381,1.7k,2,21,66
National Stock Exchange of India,3.6,Financial Services ,"('1k-5k Employees', '')",Mumbai,Fortune India 500, 32 years old,378,3.6k,2,44,40
Reliance Infrastructure,4.1,Engineering & Construction ,"('1k-5k Employees', '')",Mumbai,Public, 95 years old,377,2.1k,--,23,63
Reliance Capital,3.8,Financial Services ,"('1k-5k Employees', '')",,Public, 19 years old,377,2.2k,4,18,77
Maharashtra Seamless,3.6,Building Material ,"('1k-5k Employees', '')",Gurgaon/Gurugram,Public, 36 years old,375,1.9k,--,37,42
Allcargo Logistics,3.9,Logistics ,"('501-1k Employees', '')",Mumbai,Public, 31 years old,374,2k,1,22,46
Schwing Stetter,4.0,Industrial Machinery ,"('1k-5k Employees', '')",Chennai,Fortune India 500, 26 years old,372,2k,43,26,51
Finolex Industries,3.9,Building Material ,"('1k-5k Employees', '')",Pune,Fortune India 500,,371,1.8k,3,29,25
Jubilant Ingrevia,3.8,Chemicals ,"('201-500 Employees', '')",Noida,Fortune India 500, 4 years old,371,2.1k,--,32,21
Usha Martin,4.2,Iron & Steel ,"('1k-5k Employees', '')",Kolkata,Public, 63 years old,369,1.4k,--,17,56
Mahanagar Gas,4.2,Oil & Gas ,"('501-1k Employees', '')",Mumbai,Public, 29 years old,362,2.2k,4,27,48
Venky's,3.8,FMCG ,"('5k-10k Employees', '')",Pune,Public, 48 years old,359,1.5k,--,16,31
Chemplast Sanmar,3.7,Chemicals ,"('501-1k Employees', '')",Chennai,Fortune India 500, 57 years old,355,2k,12,32,34
APL Apollo Tubes,3.9,Iron & Steel ,"('1k-5k Employees', '')",Noida,Public, 38 years old,353,1.7k,1,22,22
Laxmi Organic Industries,4.2,Chemicals ,"('501-1k Employees', '')",Mumbai,Public, 32 years old,351,1.8k,4,24,49
SOLAR INDUSTRIES INDIA,3.8,Chemicals ,"('1k-5k Employees', '')",Nagpur,Public, 29 years old,345,2.3k,--,41,51
Indian Bank,3.4,Banking ,"('10k-50k Employees', '')",Chennai,Fortune India 500, 117 years old,344,1.6k,--,18,36
EID Parry (India),4.1,Food Processing ,"('1k-5k Employees', '')",Chennai,Public, 236 years old,344,1.4k,--,15,56
Sheela Foam,4.1,Furniture & Furnishing ,"('1k-5k Employees', '')",Delhi/NCR,Public, 53 years old,342,1.3k,2,25,35
Ge T & D India,4.3,Electrical Equipment ,"('201-500 Employees', '')",Henderson,Public, 67 years old,342,1.7k,--,8,45
Brigade Group,4.2,Real Estate ,"('501-1k Employees', '')",Bangalore/Bengaluru,Public, 38 years old,342,2.2k,13,29,44
Tetra Pak,4.2,Packaging ,"('1k-5k Employees', '')",Pully,Fortune India 500, 37 years old,339,2.2k,30,31,71
Mazagon Dock,4.4,1k,"('1k-5k Employees', '')",Mumbai,Fortune India 500, 90 years old,334,1.2k,--,18,34
India Glycols,3.8,Chemicals ,"('1k-5k Employees', '')",Noida,Public, 41 years old,329,1.8k,1,19,35
JSW Energy,4.1,Power ,"('1k-5k Employees', '')",Mumbai,Public, 30 years old,324,2.2k,--,24,38
Motherson Sumi Wiring,3.9,Building Material ,,Noida,Fortune India 500,,321,1.9k,--,35,7
KRBL,4.0,Food Processing ,"('1k-5k Employees', '')",Noida,Public, 135 years old,320,1.3k,1,25,30
The Saraswat Co-operative Bank,3.4,Banking ,"('1k-5k Employees', '')",Mumbai,Public, 106 years old,317,2.1k,1,14,26
Indraprastha Gas,4.0,Oil & Gas ,"('501-1k Employees', '')",,Public, 26 years old,304,1.8k,--,18,31
The Indian Hotels Company,4.3,Hospitality ,"('10k-50k Employees', '')",Mumbai,Fortune India 500, 125 years old,303,1.4k,8,19,42
Indian Overseas Bank,3.5,Banking ,"('10k-50k Employees', '')",Chennai,Fortune India 500, 87 years old,299,1k,--,13,25
Gujarat Ambuja Exports,3.7,Agro Chemicals ,"('1k-5k Employees', '')",Ahmedabad,Public, 33 years old,297,1.4k,2,20,27
Rail Vikas Nigam,3.2,FMCG ,"('501-1k Employees', '')",Delhi/NCR,Fortune India 500, 21 years old,295,951,--,11,28
LT Foods,4.0,Food Processing ,"('1k-5k Employees', '')",Gurgaon/Gurugram,Public, 34 years old,295,1.4k,--,17,42
Bank of Maharashtra,3.6,Banking ,"('10k-50k Employees', '')",Pune,Fortune India 500, 89 years old,294,1.3k,--,25,34
Time Technoplast,3.8,Petrochemicals ,"('1k-5k Employees', '')",Mumbai,Public, 32 years old,292,1.8k,1,10,39
Chambal Fertilisers And Chemicals,4.0,Agro Chemicals ,"('1k-5k Employees', '')",Kota,Public, 39 years old,290,1.5k,--,18,37
RSWM,3.9,Fashion & Textile ,"('10k-50k Employees', '')",Noida,Public, 63 years old,285,1.1k,--,14,48
Arvind Fashions,3.7,Fashion & Textile ,"('1k-5k Employees', '')",Bangalore/Bengaluru,Public, 31 years old,282,1.5k,1,18,25
Himatsingka Seide,3.7,Fashion & Textile ,"('5k-10k Employees', '')",Bangalore/Bengaluru,Public, 39 years old,280,1.5k,--,23,39
Sumitomo Chemical,4.1,Chemicals ,"('1k-5k Employees', '')",,Fortune India 500, 99 years old,277,1.5k,4,17,28
Oberoi Realty,4.0,Real Estate ,"('501-1k Employees', '')",Mumbai,Public, 44 years old,275,1.8k,21,17,43
Sunflag Iron and Steel,4.0,Iron & Steel ,"('1k-5k Employees', '')",Nagpur,Fortune India 500, 40 years old,259,1.2k,--,21,29
Nava Limited,3.7,Metals & Mining ,"('51-200 Employees', '')",Hyderabad/Secunderabad,Public, 52 years old,255,1.2k,--,16,30
Ircon International,3.9,Engineering & Construction ,"('1k-5k Employees', '')",Delhi/NCR,Fortune India 500, 48 years old,252,894,--,24,38
CESC,3.8,Power ,"('5k-10k Employees', '')",Kolkata,Public, 125 years old,246,1.4k,--,20,42
Paradeep Phosphates,4.1,Agro Chemicals ,"('501-1k Employees', '')",Bhubaneswar,Public, 43 years old,241,1.2k,--,21,25
Oil India,4.4,Oil & Gas ,"('5k-10k Employees', '')",Noida,Fortune India 500, 65 years old,239,849,--,19,33
UCO Bank,3.6,Banking ,"('10k-50k Employees', '')",Kolkata,Public, 81 years old,238,865,--,17,37
Gujarat Alkalies & Chemicals,4.5,Chemicals ,"('1k-5k Employees', '')",Bharuch,Public, 51 years old,237,1.3k,--,20,50
Shree Renuka Sugars,4.1,Food Processing ,"('1k-5k Employees', '')",Belagavi/Belgaum,Public, 26 years old,235,1.1k,1,17,23
Bharat Dynamics,4.4,Defence & Aerospace ,"('1k-5k Employees', '')",Hyderabad/Secunderabad,Fortune India 500, 54 years old,233,646,--,8,44
Polyplex,4.3,Packaging ,"('501-1k Employees', '')",Noida,Public, 40 years old,222,986,--,7,37
Himadri Speciality Chemical,4.0,Chemicals ,"('1k-5k Employees', '')",Kolkata,Public, 37 years old,219,1.4k,--,17,35
Cochin Shipyard,4.3,Ports & Shipping ,"('1k-5k Employees', '')",Ernakulam,Fortune India 500, 52 years old,219,1.1k,--,11,28
Mukand Limited,3.8,Iron & Steel ,"('1k-5k Employees', '')",Mumbai,Public, 87 years old,218,1.1k,17,10,33
Forbes & Company,4.1,Engineering & Construction ,"('501-1k Employees', '')",Mumbai,Fortune India 500, 259 years old,217,1.2k,1,11,27
Bajaj Hindusthan,4.2,Food Processing ,"('1k-5k Employees', '')",Mumbai,Public, 93 years old,216,851,--,8,30
Paul Merchants,4.1,NBFC ,"('1k-5k Employees', '')",Chandigarh,Public, 40 years old,216,543,--,4,10
Sun TV Network,3.7,Media & Entertainment ,"('1k-5k Employees', '')",Chennai,Public, 31 years old,215,1.3k,--,12,29
Ratnamani Metals and Tubes,4.3,Iron & Steel ,"('1k-5k Employees', '')",Ahmedabad,Public, 41 years old,211,1.1k,12,12,36
Adani Gas,3.3,Oil & Gas ,"('501-1k Employees', '')",Ahmedabad,Public, 20 years old,211,1.5k,--,25,35
Prime Focus,3.8,Animation & VFX ,"('1k-5k Employees', '')",Mumbai,Public, 27 years old,207,766,--,1,32
Gujarat State Fertilizers & Chemicals,4.5,Agro Chemicals ,"('1k-5k Employees', '')",Vadodara/Baroda,Fortune India 500, 62 years old,196,958,--,11,22
Balrampur Chini Mills,4.1,Food Processing ,"('1k-5k Employees', '')",Kolkata,Public, 49 years old,196,815,1,16,15
Nalco,4.1,Metals & Mining ,"('5k-10k Employees', '')",Bhubaneswar,Fortune India 500, 43 years old,193,707,--,21,21
The New India Assurance Co.,4.4,Insurance ,"('10k-50k Employees', '')",Mumbai,Public, 105 years old,186,604,--,5,25
NBCC,4.4,Real Estate ,"('1k-5k Employees', '')",Delhi/NCR,Fortune India 500, 64 years old,179,762,--,17,21
Zuari Agro Chemicals,3.8,Agro Chemicals ,"('501-1k Employees', '')",Gurgaon/Gurugram,Public, 57 years old,178,780,--,6,24
Tamilnad Mercantile Bank,2.9,Banking ,"('1k-5k Employees', '')",Chennai,Fortune India 500, 103 years old,177,629,8,10,13
Dalmia Bharat Sugar & Industries,4.2,Food Processing ,"('1k-5k Employees', '')",,Public, 30 years old,175,766,--,14,21
NMDC Limited,4.3,Metals & Mining ,"('5k-10k Employees', '')",Hyderabad/Secunderabad,Fortune India 500, 66 years old,172,829,--,33,16
Filatex India,3.9,Fashion & Textile ,"('1k-5k Employees', '')",Noida,Public, 34 years old,171,1.1k,--,14,18
Gallantt Ispat,4.1,Iron & Steel ,"('1k-5k Employees', '')",Gorakhpur,Public, 19 years old,168,603,--,11,7
Indo Count Industries,4.1,Fashion & Textile ,"('1k-5k Employees', '')",Mumbai,Public, 36 years old,168,1.1k,1,7,17
Karnataka Bank,3.8,Banking ,"('5k-10k Employees', '')",Mangaluru/Mangalore,Public, 100 years old,167,1k,--,33,14
Indo Rama Synthetics (i),3.6,Fashion & Textile ,"('51-200 Employees', '')",Gurgaon/Gurugram,Public, 38 years old,167,836,--,11,15
Jaiprakash Power Ventures,3.8,Power ,"('5k-10k Employees', '')",Noida,Public, 30 years old,166,903,--,20,8
Gujarat Narmada Valley Fertilizers & Chemicals,4.3,Agro Chemicals ,"('1k-5k Employees', '')",Bharuch,Fortune India 500, 48 years old,163,815,--,8,19
MMTC-PAMP,3.5,Metals & Mining ,"('1k-5k Employees', '')",,Fortune India 500, 16 years old,163,813,2,8,27
Black Box Corporation,3.1,IT Services & Consulting ,"('1k-5k Employees', '')",Lawrence,Fortune India 500, 48 years old,160,1.3k,12,18,12
Godawari Power & Ispat,4.3,Iron & Steel ,"('1k-5k Employees', '')",Raipur,Public, 25 years old,155,728,1,7,18
Barclays Global Service Centre,3.8,IT Services & Consulting ,"('201-500 Employees', '')",Pune,Fortune India 500, 17 years old,154,7k,--,80,147
Sutlej Textiles and Industries,4.0,Fashion & Textile ,"('10k-50k Employees', '')",Mumbai,Public, 19 years old,151,866,--,5,14
Prakash Industries,3.6,Metals & Mining ,"('501-1k Employees', '')",,Public, 44 years old,150,946,--,4,10
KPR Mill,4.1,Fashion & Textile ,"('501-1k Employees', '')",Coimbatore,Public, 40 years old,149,889,--,7,14
KNR Constructions,4.2,Engineering & Construction ,"('1k-5k Employees', '')",Hyderabad/Secunderabad,Public, 29 years old,148,782,--,5,20
Aia Engineering,4.2,Industrial Machinery ,"('1k-5k Employees', '')",Ahmedabad,Public, 45 years old,148,935,--,12,23
NHPC,4.4,Power ,"('5k-10k Employees', '')",Faridabad,Fortune India 500, 49 years old,143,504,--,9,27
Adani Transmission,3.8,Real Estate ,"('501-1k Employees', '')",Ahmedabad,Public, 11 years old,138,839,--,9,16
Punjab & Sind Bank,3.5,Banking ,"('5k-10k Employees', '')",,Fortune India 500, 116 years old,137,439,--,5,15
Savita Oil Technologies,4.3,Chemicals ,"('1k-5k Employees', '')",Mumbai,Public, 63 years old,134,896,1,5,13
RattanIndia Power,3.4,Power ,"('1k-5k Employees', '')",,Public, 17 years old,132,769,--,3,17
Sarda Energy & Minerals,4.3,Iron & Steel ,"('1k-5k Employees', '')",Raipur,Public, 51 years old,128,644,2,8,12
Graphite India,3.7,Electrical Equipment ,"('1k-5k Employees', '')",Nasik/Nashik,Public, 62 years old,128,698,--,3,15
Shipping Corporation of India,3.8,Logistics ,"('1k-5k Employees', '')",Mumbai,Fortune India 500, 63 years old,124,600,--,4,15
Hubergroup,4.1,Chemicals ,"('1k-5k Employees', '')",Vapi,Fortune India 500, 38 years old,124,737,9,6,14
Prestige Estates Projects,4.3,Real Estate ,"('1k-5k Employees', '')",Bangalore/Bengaluru,Public, 38 years old,123,727,--,5,13
Gemini Edibles & Fats India,4.4,Food Processing ,"('501-1k Employees', '')",Hyderabad,Fortune India 500, 14 years old,112,500,--,8,22
JBF Industries,4.1,Fashion & Textile ,"('201-500 Employees', '')",Mumbai,Public, 42 years old,110,678,--,5,15
Gokul Agro Resources,3.8,FMCG ,"('1k-5k Employees', '')",Ahmedabad,Public, 10 years old,110,757,5,11,5
Nahar Spinning Mills,4.1,Fashion & Textile ,"('51-200 Employees', '')",Ludhiana,Public, 44 years old,109,537,--,6,11
The West Coast Paper Mills,4.1,Pulp & Paper ,"('201-500 Employees', '')",Kolkata,Public, 69 years old,107,529,--,2,11
Gujarat State Petronet,3.9,Oil & Gas ,"('1k-5k Employees', '')",Gandhinagar,Public, 45 years old,105,653,--,7,11
Kesoram Industries,3.9,Auto Components ,"('501-1k Employees', '')",Kolkata,Public, 105 years old,99,590,--,6,15
Tanla Platforms,3.2,Software Product ,"('501-1k Employees', '')",Hyderabad,Public, 25 years old,98,996,66,10,8
Fertilisers and Chemicals Travancore,4.0,Agro Chemicals ,"('501-1k Employees', '')",Kochi,Fortune India 500, 81 years old,97,400,--,2,5
IVL Dhunseri Petrochem Industries,3.9,Chemicals ,"('1k-5k Employees', '')",Kolkata,Fortune India 500, 9 years old,95,449,--,4,9
Petronet LNG,4.6,Oil & Gas ,"('501-1k Employees', '')",Delhi/NCR,Public, 26 years old,94,609,--,6,14
Supreme Petrochem,4.0,Chemicals ,"('201-500 Employees', '')",Mumbai,Public, 31 years old,91,639,--,5,14
Electronics Mart India,3.6,Retail ,"('1k-5k Employees', '')",,Public, 44 years old,87,485,7,6,2
Sharda Cropchem,3.9,Chemicals ,"('201-500 Employees', '')",Mumbai,Public, 37 years old,85,389,--,4,23
Srei Infrastructure Finance,4.3,Financial Services ,"('51-200 Employees', '')",Kolkata,Public, 39 years old,82,401,15,1,9
Rain Industries,3.7,Chemicals ,"('51-200 Employees', '')",Hyderabad/Secunderabad,Public, 50 years old,82,508,14,10,12
RPSG,3.8,FMCG ,"('10k-50k Employees', '')",Kolkata,Fortune India 500,,81,499,--,10,4
Nitin Spinners,4.2,Fashion & Textile ,"('1k-5k Employees', '')",Bhilwara,Public, 32 years old,79,471,--,3,4
J&K Bank,4.0,Banking ,"('10k-50k Employees', '')",Srinagar,Public, 86 years old,77,309,--,4,13
KRIBHCO Fertilizers Limited,4.5,Agro Chemicals ,"('1-10 Employees', '')",Noida,Public, 29 years old,74,280,--,4,10
Century Textiles and Industries,4.5,Pulp & Paper ,"('1k-5k Employees', '')",Mumbai,Fortune India 500, 127 years old,72,387,--,1,10
Gvk Power & Infrastructure,4.0,Aviation ,"('1k-5k Employees', '')",Hyderabad/Secunderabad,Public, 19 years old,71,504,--,2,12
Avanti Feeds,4.4,FMCG ,"('1k-5k Employees', '')",Hyderabad/Secunderabad,Public, 31 years old,70,452,2,4,8
National Bank Agriculture Rural Development,4.4,Financial Services ,"('1k-5k Employees', '')",Mumbai,Fortune India 500, 42 years old,67,288,--,4,8
Maithan Alloys,3.6,Iron & Steel ,"('1k-5k Employees', '')",Kolkata,Public, 29 years old,62,368,--,5,3
