Company,Rating,Industry,Employees,Location,Ownership,age,Reviews,Salaries,Jobs,Interviews,Benefits
Ford Motor,4.4,Automobile ,"('5k-10k Employees', '')",Dearborn,Public, 121 years old,2.7k,14.2k,--,131,405
Alkem Laboratories,3.9,Pharma ,"('10k-50k Employees', '')",Mumbai,Public, 51 years old,2.7k,9.4k,16,135,--
Jindal Steel and Power,4.0,Iron & Steel ,"('5k-10k Employees', '')",Delhi/NCR,Fortune India 500, 45 years old,2.7k,13.7k,24,280,343
Escorts Kubota Limited,4.1,Automobile ,"('1k-5k Employees', '')",Faridabad,Public, 80 years old,2.7k,11.6k,1,198,279
Ipca Laboratories,4.0,Pharma ,"('10k-50k Employees', '')",Mumbai,Public, 75 years old,2.6k,11.3k,29,144,--
Glenmark Pharmaceuticals,4.0,Pharma ,"('10k-50k Employees', '')",Mumbai,Public, 47 years old,2.6k,11.5k,95,125,334
RBL Bank,3.7,Banking ,"('10k-50k Employees', '')",Mumbai,Public, 81 years old,2.6k,16.8k,57,160,226
Jubilant Foods Works,3.8,Hospitality ,"('10k-50k Employees', '')",Nanded,Public, 29 years old,2.6k,7.9k,42,150,192
Aarti Industries,4.2,Agro Chemicals ,"('5k-10k Employees', '')",Vapi,Public, 49 years old,2.6k,13.5k,28,270,--
MRF Tyres,3.7,Auto Components ,"('10k-50k Employees', '')",Nanded,Public, 78 years old,2.6k,11.7k,19,275,380
Birlasoft,3.7,IT Services & Consulting ,"('10k-50k Employees', '')",Nanded,Public, 29 years old,2.6k,28.8k,327,269,248
JK Cement,4.1,Building Material ,"('1k-5k Employees', '')",Nimbahera,Public, 49 years old,2.5k,8.7k,--,229,268
Ceat Tyres,4.0,Auto Components ,"('5k-10k Employees', '')",Mumbai,Public, 66 years old,2.5k,12k,11,146,369
ABB Group,4.1,Industrial Automation ,"('1k-5k Employees', '')",Chennai,Public, 36 years old,2.5k,15.6k,1,206,367
Dabur,3.8,FMCG ,"('5k-10k Employees', '')",Chennai,Public, 140 years old,2.5k,7.8k,45,199,290
InterGlobe Aviation,3.6,Aviation ,"('10k-50k Employees', '')",Chennai,Fortune India 500, 19 years old,2.5k,12.6k,45,347,328
ACC,3.9,Building Material ,"('5k-10k Employees', '')",Chennai,Public, 88 years old,2.4k,9.7k,13,174,286
Titan Company,4.4,Retail ,"('5k-10k Employees', '')",Chennai,Public, 40 years old,2.4k,8.5k,40,130,356
UPL,4.2,Agriculture ,"('5k-10k Employees', '')",Chennai,Public, 55 years old,2.4k,10.6k,35,158,329
Shoppers Stop,4.1,Retail ,"('5k-10k Employees', '')",Chennai,Public, 33 years old,2.3k,7.2k,3,100,331
Torrent Pharmaceuticals,3.9,Pharma ,"('10k-50k Employees', '')",Chennai,Public, 53 years old,2.3k,10.2k,28,114,339
Grasim Industries,4.1,Building Material ,"('10k-50k Employees', '')",Chennai,Public, 77 years old,2.3k,10.1k,4,181,266
Zensar Technologies,3.7,IT Services & Consulting ,"('5k-10k Employees', '')",Chennai,Public, 23 years old,2.3k,26.2k,30,233,279
Dilip Buildcon,4.0,Engineering & Construction ,"('10k-50k Employees', '')",Chennai,Public, 37 years old,2.3k,7.9k,4,134,299
Mankind Pharma,4.0,Pharma ,"('10k-50k Employees', '')",Chennai,Fortune India 500, 29 years old,2.3k,8.2k,24,179,266
Motilal Oswal Financial Services,3.8,Financial Services ,"('10k-50k Employees', '')",Chennai,Public, 37 years old,2.2k,10k,47,187,191
UNO Minda,4.0,Auto Components ,"('201-500 Employees', '')",Chennai,Fortune India 500, 66 years old,2.2k,9.3k,14,146,283
Sammaan Capital Limited,3.8,NBFC ,"('5k-10k Employees', '')",Chennai,Public, 19 years old,2.2k,8.4k,20,96,122
Apollo Tyres,4.1,Auto Components ,"('5k-10k Employees', '')",Chennai,Public, 52 years old,2.2k,9.1k,19,119,350
Nestle,4.1,FMCG ,"('5k-10k Employees', '')",Chennai,Public, 65 years old,2.1k,9.2k,35,221,337
Max Healthcare,4.1,Healthcare ,"('1k-5k Employees', '')",Chennai,Fortune India 500, 23 years old,2.1k,8.5k,74,107,258
Blue Dart Express,4.1,Logistics ,"('10k-50k Employees', '')",Mumbai,Public, 41 years old,2.1k,6.3k,--,95,240
Bajaj Electricals,4.0,Consumer Electronics & Appliances ,"('1k-5k Employees', '')",Mumbai,Public, 86 years old,2.1k,7.9k,18,115,309
Suzlon Group,4.1,Power ,"('5k-10k Employees', '')",Pune,Public, 29 years old,2.1k,7.4k,36,116,367
