Company,Rating,Industry,Employees,Location,Ownership,age,Reviews,Salaries,Jobs,Interviews,Benefits
Punjab & Sind Bank,3.5,Banking ,5000-10000,New Delhi,Fortune India 500,116,137,439,0,5,15
Savita Oil Technologies,4.3,Chemicals ,1000-5000,Mumbai,Public,63,134,896,1,5,13
RattanIndia Power,3.4,Power ,1000-5000,Mumbai,Public,17,132,769,0,3,17
Sarda Energy & Minerals,4.3,Iron & Steel ,1000-5000,Raipur,Public,51,128,644,2,8,12
Graphite India,3.7,Electrical Equipment ,1000-5000,Nashik,Public,62,128,698,0,3,15
Shipping Corporation of India,3.8,Logistics ,1000-5000,Mumbai,Fortune India 500,63,124,600,0,4,15
Hubergroup,4.1,Chemicals ,1000-5000,Vapi,Fortune India 500,38,124,737,9,6,14
Prestige Estates Projects,4.3,Real Estate ,1000-5000,Bangalore,Public,38,123,727,0,5,13
Gemini Edibles & Fats India,4.4,Food Processing ,501-1000,Hyderabad,Fortune India 500,14,112,500,0,8,22
JBF Industries,4.1,Fashion & Textile ,201-500,Mumbai,Public,42,110,678,0,5,15
Gokul Agro Resources,3.8,FMCG ,1000-5000,Ahmedabad,Public,10,110,757,5,11,5
Nahar Spinning Mills,4.1,Fashion & Textile ,51-200,Ludhiana,Public,44,109,537,0,6,11
The West Coast Paper Mills,4.1,Pulp & Paper ,201-500,Kolkata,Public,69,107,529,0,2,11
Gujarat State Petronet,3.9,Oil & Gas ,1000-5000,Gandhinagar,Public,45,105,653,0,7,11
Kesoram Industries,3.9,Auto Components ,501-1000,Kolkata,Public,105,99,590,0,6,15
Tanla Platforms,3.2,Software Product ,501-1000,Hyderabad,Public,25,98,996,65,10,8
Fertilisers and Chemicals Travancore,4.0,Agro Chemicals ,501-1000,Kochi,Fortune India 500,81,97,400,0,2,5
IVL Dhunseri Petrochem Industries,3.9,Chemicals ,1000-5000,Kolkata,Fortune India 500,9,95,449,0,4,9
Petronet LNG,4.6,Oil & Gas ,501-1000,New Delhi,Public,26,94,609,0,6,14
Supreme Petrochem,4.0,Chemicals ,201-500,Mumbai,Public,31,91,639,0,5,14
Electronics Mart India,3.6,Retail ,1000-5000,Hyderabad,Public,44,87,485,6,6,2
Sharda Cropchem,3.9,Chemicals ,201-500,Mumbai,Public,37,85,389,0,4,23
Srei Infrastructure Finance,4.3,Financial Services ,51-200,Kolkata,Public,39,82,401,0,1,9
Rain Industries,3.7,Chemicals ,51-200,Hyderabad,Public,50,82,508,14,10,12
RPSG,3.8,FMCG ,10000-50000,Kolkata,Fortune India 500,11,81,499,0,10,4
Nitin Spinners,4.2,Fashion & Textile ,1000-5000,Bhilwara,Public,32,79,471,0,3,4
J&K Bank,4.0,Banking ,10000-50000,Srinagar,Public,86,77,309,0,4,13
KRIBHCO Fertilizers Limited,4.5,Agro Chemicals ,1-10,Noida,Public,29,74,280,0,4,10
Century Textiles and Industries,4.5,Pulp & Paper ,1000-5000,Mumbai,Fortune India 500,127,72,387,0,1,10
Gvk Power & Infrastructure,4.0,Aviation ,1000-5000,Hyderabad,Public,19,71,504,0,2,12
Avanti Feeds,4.4,FMCG ,1000-5000,Hyderabad,Public,31,69,452,0,4,8
National Bank Agriculture Rural Development,4.4,Financial Services ,1000-5000,Mumbai,Fortune India 500,42,67,288,0,4,8
Maithan Alloys,3.6,Iron & Steel ,1000-5000,Kolkata,Public,29,62,368,0,5,3
Tamilnadu Newsprint Papers,4.2,Pulp & Paper ,1000-5000,Chennai,Public,25,61,354,0,2,7
Birla Carbon,3.9,Chemicals ,501-1000,bombay,Fortune India 500,44,60,473,0,7,6
Kirloskar Group,4.0,Engineering & Construction and Automobile Components,10000-50000,Pune,Public,136,60,457,0,9,6
Sterling and Wilson Renewable Energy,4.1,Power ,1000-5000,Mumbai,Fortune India 500,11,59,408,7,5,1
Great Eastern Shipping Company,4.3,Oil & Gas ,501-1000,Mumbai,Public,76,57,320,0,11,14
KIOCL,4.1,Iron & Steel ,1000-5000,Bangalore,Fortune India 500,48,54,250,0,4,4
REC Kurukshetra,3.5,FMCG ,1000-5000,New Delhi,Public,55,42,389,0,5,2
Power Finance Corporation,4.0,FMCG ,201-500,New Delhi,Fortune India 500,38,39,378,0,1,6
PDS International,3.3,Fashion & Textile ,11-50,Kolkata,Fortune India 500,35,37,385,8,5,6
GMDC,3.6,Metals & Mining ,1000-5000,Ahmedabad,Fortune India 500,61,30,152,0,2,4
Gokul Refoils & Solvent,3.9,FMCG ,51-200,Ahmedabad,Public,32,28,152,0,0,5
Religare Enterprises,3.2,Financial Services ,51-200,New Delhi,Public,38,27,292,0,1,3
HUDCO,4.4,Real Estate ,501-1000,New Delhi,Fortune India 500,54,26,62,0,1,4
Cosmo First,4.0,Packaging ,1000-5000,New Delhi,Fortune India 500,41,26,151,0,2,0
The Bombay Burmah Trading Corporation,3.0,Food Processing ,201-500,Mumbai,Public,161,23,182,0,1,2
Rane Holdings,4.4,Auto Components ,51-200,Chennai,Public,95,20,211,0,0,1
Export-Import Bank of India,3.2,Financial Services ,1000-5000,Mumbai,Fortune India 500,40,13,179,0,0,2
Embassy REIT,4.0,Real Estate ,10000-50000,Bangalore,Fortune India 500,8,11,137,0,1,0
Max Financial Services,4.9,Insurance ,10000-50000,Kolkata,Public,30,10,114,0,0,1
GMR Power and Urban Infra,4.5,Power ,500-1000,Kanpur,Fortune India 500,44,7,42,0,0,0
Culver Max Entertainment,4.9,Media & Entertainment ,201-500,Mumbai,Fortune India 500,27,5,34,0,0,0
GMR Airports Infrastructure,4.2,Aviation ,10000-50000,New Delhi,Fortune India 500,16,4,15,57,0,0
Shirpur Gold Refinery,4.7,Metals & Mining ,51-200,Shirpur,Public,23,3,24,0,0,1
Cholamandalam Financial Holdings,3.8,Financial Services ,11-50,Coimbatore,Fortune India 500,44,3,36,0,0,0
CONCOR,5.0,Logistics ,1000-5000,New Delhi,Fortune India 500,36,2,34,0,0,0
Bengal and Assam Company,4.0,Financial Services ,11-50,Kolkata,Fortune India 500,75,2,10,0,0,0
Sagar Diamonds,2.3,Jewellery ,51-200,Mumbai,Fortune India 500,7,2,15,0,0,0
Indian Railway Finance Corporation,5.0,Financial Services ,1000-5000,New Delhi,Fortune India 500,36,1,56,0,0,0
Bajaj Holdings & Investment,4.5,Financial Services ,11-50,Pune,Fortune India 500,77,1,26,0,0,0
Kama Holdings,5.0,Financial Services ,201-500,Mumbai,Fortune India 500,22,0,5,0,0,0
