Company,Rating,Industry,Employees,Location,Ownership,age,Reviews,Salaries,Jobs,Interviews,Benefits
Sonata Software,3.5,IT Services & Consulting ,1000-5000,Bangalore,Public,38,935,10800,33,102,89
Hatsun Agro Product,4.0,Food Processing ,5000-10000,Chennai,Public,54,900,4300,7,59,110
GAIL,4.5,Oil & Gas ,1000-5000,New Delhi,Fortune India 500,40,899,3200,0,75,93
Godrej Consumer Products,4.2,FMCG ,1000-5000,Mumbai,Public,23,892,4400,0,40,129
Nykaa,3.5,Internet ,1000-5000,Mumbai,Public,12,885,5400,1,103,63
Kirloskar Oil Engines,4.2,Industrial Machinery ,1000-5000,Pune,Public,78,872,3700,2,45,108
Karur Vysya Bank,3.7,Banking ,5000-10000,Karur,Public,108,869,3700,31,60,62
MedPlus,3.6,Pharma ,501-1000,Hyderabad,Fortune India 500,18,869,3400,18,71,62
PNC Infratech,3.9,Engineering & Construction ,5000-10000,New Delhi,Public,25,868,3300,5,53,81
The Ramco Cements,4.2,Building Material ,1000-5000,Chennai,Public,63,859,3500,0,49,101
JK Lakshmi Cement,3.9,Building Material ,1000-5000,New Delhi,Public,42,858,3400,1,54,101
H.G. Infra Engineering,4.3,Engineering & Construction ,1000-5000,Jaipur,Public,21,849,2600,6,68,94
Strides Pharma,3.9,Pharma ,201-500,Bangalore,Public,34,845,400,3,55,150
Power Grid Corporation of India,4.3,Power ,5000-10000,Gurugram,Fortune India 500,35,841,200,0,61,82
CenturyPly,3.9,Furniture & Furnishing ,1000-5000,Kolkata,Public,38,834,3700,1,59,58
Mando Automotive,3.9,Auto Components ,1000-5000,Kanchipuram,Fortune India 500,18,821,4600,0,46,129
Jubilant Pharmova,3.9,Pharma ,1000-5000,Noida,Public,46,808,3800,29,56,117
Sundaram Finance,4.2,NBFC ,1000-5000,Chennai,Public,70,804,3100,0,29,89
Kirloskar Brothers,4.0,Industrial Machinery ,1000-5000,Pune,Public,136,799,4100,5,61,105
Tube Investments of India,4.0,Engineering & Construction ,1000-5000,Chennai,Public,75,795,3100,8,41,60
Adani Green Energy,4.2,Power ,1000-5000,Ahmedabad,Fortune India 500,9,788,4200,8,81,82
Nilkamal,3.9,Furniture & Furnishing ,1000-5000,Mumbai,Public,43,781,3200,8,48,88
Digit Insurance,3.9,Insurance ,1000-5000,Bangalore,Fortune India 500,8,779,3900,20,76,105
Colgate Palmolive,4.2,FMCG ,1000-5000,New York City,Public,87,779,3900,0,66,123
Birla Corporation,4.2,Building Material ,5000-10000,Kolkata,Public,105,775,3400,0,52,87
Sundaram Clayton,4.1,Auto Components ,1000-5000,Chennai,Public,62,764,300,0,27,104
SHYAM METALICS AND ENERGY,3.6,Iron & Steel ,1000-5000,Kolkata,Fortune India 500,29,759,3300,1,81,50
HFCL,4.1,Hardware & Networking ,1000-5000,New Delhi,Public,37,756,3500,0,53,91
Tata Consumer Products,3.8,FMCG ,1000-5000,Mumbai,Public,62,752,3900,9,55,68
Astral Pipe,4.1,Building Material ,1-10,Ahmedabad,Fortune India 500,26,752,3100,20,56,37
City Union Bank,3.3,Banking ,5000-10000,Thanjavur,Public,120,749,4600,7,69,61
Federal Bank,3.8,Banking ,10000-50000,Aluva,Public,93,740,4500,0,119,74
Schaeffler India,4.2,Auto Components ,1000-5000,Mumbai,Public,78,735,4400,0,46,116
DLF,4.0,Real Estate ,1000-5000,Gurugram,Public,78,733,3800,1,69,74
Nirma,4.3,FMCG ,10000-50000,Ahmedabad,Fortune India 500,34,730,3100,0,38,126
Tata Chemicals,4.1,Chemicals ,1000-5000,Mumbai,Public,85,726,2800,13,55,142
Wheels,4.1,Auto Components ,1000-5000,Chennai,Public,62,720,4800,0,52,85
Lakshmi Machine Works,4.0,Industrial Machinery ,1000-5000,Coimbatore,Public,62,720,3900,2,48,70
CNH Industrial,4.0,Automobile ,1000-5000,London,Public,11,719,3600,10,50,92
Bank of India,3.9,Banking ,50000-100000,Mumbai,Fortune India 500,118,714,2700,0,44,93
Biocon Biologics,3.6,Biotechnology ,1000-5000,Bangalore,Public,46,709,5600,0,85,363
Reliance Power,4.2,Power ,1000-5000,Mumbai,Public,29,708,3300,3,41,70
Page Industries,4.2,Fashion & Textile ,10000-50000,Bangalore,Public,30,705,3300,1,38,83
Vedanta Resources,3.8,Metals & Mining ,1000-5000,London,Public,48,696,5100,0,90,101
NBC Bearings,3.9,Auto Components ,1000-5000,Jaipur,Public,78,689,300,4,73,50
KEI Industries,4.2,Electrical Equipment ,1000-5000,New Delhi,Public,56,684,3100,0,51,90
Godfrey Phillips India,4.1,FMCG ,501-1000,New Delhi,Public,91,683,300,0,29,109
Prism Johnson,3.9,Building Material ,1000-5000,Mumbai,Public,32,682,3800,0,44,67
Bayer,4.1,Pharma ,10000-50000,Leverkusen,Public,161,680,400,0,43,134
Alok Industries,3.8,Fashion & Textile ,10000-50000,,Public,38,677,300,0,36,85
United Breweries,3.8,Beverage ,1000-5000,,Public,167,676,3200,1,34,98
HSBC Bank,4.1,Banking ,10000-50000,Mumbai,Fortune India 500,155,666,4100,0,38,26
Deepak Fertilisers and Petrochemicals,3.9,Chemicals ,501-1000,,Public,45,627,3100,8,33,86
Union Bank of India,4.0,Banking ,50000-100000,,Public,105,622,2700,0,31,72
Tata Hitachi Construction Machinery,4.0,Industrial Machinery ,1000-5000,,Fortune India 500,25,614,2800,0,50,86
Wonder Cement,4.2,Building Material ,1000-5000,,Fortune India 500,14,614,3200,34,47,60
Adani Enterprises,3.8,"Power, Ports & Shipping, Agro Chemicals, Real Estate",10000-50000,,Public,36,614,3700,8,68,86
Balkrishna Industries,4.0,Auto Components ,1000-5000,,Public,37,612,3100,0,43,54
Carborundum Universal,4.0,Metals & Mining ,1000-5000,Hosur,Public,70,599,300,0,29,64
Engineers India,4.3,Engineering & Construction ,1000-5000,,Public,59,598,3200,6,69,81
India Cements,3.8,Building Material ,1000-5000,Chennai,Public,78,579,2500,0,45,63
Finolex Cables,3.9,Electrical Equipment ,1000-5000,Pune,Public,68,579,2500,13,37,48
HIL,4.2,Building Material ,1000-5000,,Public,78,578,2300,5,47,71
Hitachi Energy,4.1,Power ,1000-5000,Vadodara,Fortune India 500,5,576,4800,282,74,69
VA Tech Wabag,3.9,Waste Management ,501-1000,,Public,100,563,2800,0,43,89
JK Paper,4.0,Pulp & Paper ,1000-5000,Rayagada,Public,62,557,2600,15,46,77
Redington,4.0,Hardware & Networking ,1000-5000,Chennai,Public,25,555,3100,0,30,69
Apar Industries,4.1,Electrical Equipment ,1000-5000,,Public,66,546,300,3,36,49
Zee Entertainment Enterprises,3.5,Media & Entertainment ,1000-5000,Mumbai,Public,32,544,4200,2,44,51
Deepak Nitrite,4.0,Chemicals ,1000-5000,Baroda,Public,54,539,300,14,43,74
Steel Authority Of India,4.1,Iron & Steel ,10000-50000,New Delhi,Public,70,534,2200,0,35,61
BASF,4.5,Chemicals ,1000-5000,Ludwigshafen,Fortune India 500,81,525,2400,0,29,74
Jain Irrigation Systems,4.1,Agriculture ,5000-10000,Jalgaon,Public,61,520,2200,0,19,53
Sterlite Power,3.9,Power ,1000-5000,New Delhi,Fortune India 500,14,520,2900,16,22,71
EPL Limited,3.9,Packaging ,1000-5000,Mumbai,Public,40,509,1800,0,19,74
TTK Prestige,3.9,Consumer Electronics & Appliances ,1000-5000,Bangalore,Public,69,507,2200,3,34,50
Electrotherm,4.2,Iron & Steel ,1000-5000,Ahmedabad,Public,41,500,2800,0,28,60
Coal India,4.0,Metals & Mining ,100000+,Kolkata,Public,49,498,1900,0,56,76
Jai Balaji Group,3.6,Iron & Steel ,1000-5000,Kolkata,Public,25,498,2700,1,33,70
Orient Cement,4.3,Building Material ,1000-5000,Hyderabad,Public,45,498,2400,2,37,83
Gayatri Projects,3.9,Engineering & Construction ,1000-5000,Hyderabad,Public,61,497,2200,0,36,80
Patel Engineering,4.2,Engineering & Construction ,1000-5000,Mumbai,Public,75,495,2100,1,30,57
3M,4.2,Electronics Manufacturing ,1000-5000,Maplewood,Public,37,492,300,44,26,66
United Spirits,4.0,Beverage ,1000-5000,Bangalore,Public,27,490,1800,0,11,73
Surya Roshni,4.2,Real Estate ,1000-5000,New Delhi,Public,51,489,2100,0,14,56
JM Financial,3.8,Financial Services ,1000-5000,Mumbai,Public,40,487,3400,6,38,34
Triveni Engineering & Industries,4.2,Food Processing ,1000-5000,Mysore/Mysuru,Public,92,483,2200,0,30,62
Amber Enterprises India,3.9,Consumer Electronics & Appliances ,1000-5000,Mumbai,Public,34,469,2500,7,36,44
BEML,4.1,Industrial Machinery ,5000-10000,Bangalore,Fortune India 500,60,468,1700,0,21,62
Škoda Auto Volkswagen,4.2,Automobile ,5000-10000,Pune,Fortune India 500,23,468,3100,3,21,49
PCBL Limited,3.9,Petrochemicals ,1000-5000,Kolkata,Public,64,464,2400,5,53,53
Sadbhav Engineering,4.4,Engineering & Construction ,1000-5000,Ahmedabad,Public,36,457,1700,0,10,69
Welspun Corp,4.1,Iron & Steel ,5000-10000,Mumbai,Fortune India 500,39,453,1900,0,25,44
Godrej Industries,4.2,Chemicals ,1000-5000,Mumbai,Public,61,452,2600,100,46,69
Eicher Motors,4.2,Automobile ,5000-10000,Gurgaon,Public,42,431,1600,0,30,45
Central Bank of India,3.9,Banking ,10000-50000,Mumbai,Public,113,429,1200,0,28,37
Kajaria Ceramics,4.2,Building Material ,1000-5000,New Delhi,Public,39,428,1800,0,17,51
Transport Corporation Of India,4.1,Logistics ,1000-5000,Gurgaon,Public,66,416,1800,0,23,62
South Indian Bank,3.5,Banking ,1000-5000,Trichur,Public,95,416,2600,0,67,37
NLC India Limited,4.5,Metals & Mining ,10000-50000,Chennai,Fortune India 500,68,415,1100,0,21,27
Jindal Poly Films,3.6,Packaging ,1000-5000,New Delhi,Public,50,414,2400,0,33,53
Radico Khaitan,3.9,Beverage ,1000-5000,New Delhi,Public,81,411,1800,0,20,36
IRB Infrastructure,4.1,Engineering & Construction ,5000-10000,Mumbai,Public,26,404,1300,0,17,59
Castrol,4.2,Petrochemicals ,501-1000,Pangbourne,Public,125,400,1800,0,19,51
LIC Housing Finance,4.1,NBFC ,1000-5000,Mumbai,Public,35,396,1600,0,16,35
Electrosteel Casting,3.9,Building Material ,1000-5000,Kolkata,Public,69,396,200,0,38,43
Aster Dm Healthcare,3.8,Healthcare ,1000-5000,Dubai,Public,37,396,2300,35,35,36
GHCL Limited,4.0,Chemicals ,501-1000,Noida,Public,41,385,1500,1,25,58
Galaxy Surfactants,3.8,Chemicals ,1000-5000,Mumbai,Public,44,381,1700,2,21,66
National Stock Exchange of India,3.6,Financial Services ,1000-5000,Mumbai,Fortune India 500,32,378,3600,3,44,40
Reliance Infrastructure,4.1,Engineering & Construction ,1000-5000,Mumbai,Public,95,377,2100,0,23,63
Reliance Capital,3.8,Financial Services ,1000-5000,Mumbai,Public,19,377,2200,3,18,77
Maharashtra Seamless,3.6,Building Material ,1000-5000,Gurugram,Public,36,375,1900,0,37,42
Allcargo Logistics,3.9,Logistics ,501-1000,Mumbai,Public,31,374,200,1,22,46
Schwing Stetter,4.0,Industrial Machinery ,1000-5000,Chennai,Fortune India 500,26,372,200,42,26,51
Finolex Industries,3.9,Building Material ,1000-5000,Pune,Fortune India 500,41,371,1800,3,29,25
Jubilant Ingrevia,3.8,Chemicals ,201-500,Noida,Fortune India 500,4,370,2100,0,32,21
Usha Martin,4.2,Iron & Steel ,1000-5000,Kolkata,Public,63,369,1400,0,17,56
Mahanagar Gas,4.2,Oil & Gas ,501-1000,Mumbai,Public,29,362,2200,2,27,48
Venky's,3.8,FMCG ,5000-10000,Pune,Public,48,359,1500,0,16,31
Chemplast Sanmar,3.7,Chemicals ,501-1000,Chennai,Fortune India 500,57,355,200,7,32,34
APL Apollo Tubes,3.9,Iron & Steel ,1000-5000,Noida,Public,38,353,1700,1,22,22
Laxmi Organic Industries,4.2,Chemicals ,501-1000,Mumbai,Public,32,351,1800,4,24,49
SOLAR INDUSTRIES INDIA,3.8,Chemicals ,1000-5000,Nagpur,Public,29,345,2300,0,41,51
Indian Bank,3.4,Banking ,10000-50000,Chennai,Fortune India 500,117,344,1600,0,18,36
EID Parry (India),4.1,Food Processing ,1000-5000,Chennai,Public,236,344,1400,0,15,56
Ge T & D India,4.3,Electrical Equipment ,201-500,Henderson,Public,67,342,1700,0,8,45
Sheela Foam,4.1,Furniture & Furnishing ,1000-5000,New Delhi,Public,53,342,1300,2,25,35
Brigade Group,4.2,Real Estate ,501-1000,Bangalore,Public,38,341,2200,13,29,44
Tetra Pak,4.2,Packaging ,1000-5000,Pully,Fortune India 500,37,339,2200,30,31,71
Mazagon Dock,4.4,Defence & Aerospace ,1000-5000,Mumbai,Fortune India 500,90,334,1200,0,18,34
India Glycols,3.8,Chemicals ,1000-5000,Noida,Public,41,329,1800,1,19,35
JSW Energy,4.1,Power ,1000-5000,Mumbai,Public,30,324,2200,0,24,38
Motherson Sumi Wiring,3.9,Building Material ,50000-100000,Noida,Fortune India 500,36,321,1900,0,35,7
KRBL,4.0,Food Processing ,1000-5000,Noida,Public,135,320,1300,1,25,30
The Saraswat Co-operative Bank,3.4,Banking ,1000-5000,Mumbai,Public,106,317,2100,1,14,26
Indraprastha Gas,4.0,Oil & Gas ,501-1000,New Delhi,Public,26,304,1800,0,18,31
